t,cb,budget,trail,cool,zcut,entries,train_t
2.5,0.99,0.05,0.65,5,-0.90625,586,0.8646243421462255
2.5,0.99,0.075,0.65,5,-0.90625,586,0.8646243421462255
2.5,0.995,0.05,0.65,5,-0.90625,586,0.8646243421462255
2.5,0.995,0.075,0.65,5,-0.90625,586,0.8646243421462255
2.5,0.999,0.05,0.65,5,-0.90625,586,0.8646243421462255
2.5,0.999,0.075,0.65,5,-0.90625,586,0.8646243421462255
2.0,0.99,0.02,0.65,3,-0.90625,586,0.8425969878051645
2.0,0.995,0.02,0.65,3,-0.90625,586,0.8425969878051645
2.0,0.999,0.02,0.65,3,-0.90625,586,0.8425969878051645
2.5,0.99,0.02,0.65,3,-0.90625,586,0.8425969878051645
2.5,0.995,0.02,0.65,3,-0.90625,586,0.8425969878051645
2.5,0.999,0.02,0.65,3,-0.90625,586,0.8425969878051645
2.0,0.99,0.02,0.75,5,-0.90625,586,0.5932681860408103
2.0,0.995,0.02,0.75,5,-0.90625,586,0.5932681860408103
2.0,0.999,0.02,0.75,5,-0.90625,586,0.5932681860408103
2.5,0.99,0.02,0.75,5,-0.90625,586,0.5932681860408103
2.5,0.995,0.02,0.75,5,-0.90625,586,0.5932681860408103
2.5,0.999,0.02,0.75,5,-0.90625,586,0.5932681860408103
2.0,0.99,0.02,0.85,5,-0.90625,586,0.5222943175917792
2.0,0.995,0.02,0.85,5,-0.90625,586,0.5222943175917792
2.0,0.999,0.02,0.85,5,-0.90625,586,0.5222943175917792
2.5,0.99,0.02,0.85,5,-0.90625,586,0.5222943175917792
2.5,0.995,0.02,0.85,5,-0.90625,586,0.5222943175917792
2.5,0.999,0.02,0.85,5,-0.90625,586,0.5222943175917792
2.0,0.99,0.02,0.65,5,-0.90625,586,0.17068951967883683
2.0,0.995,0.02,0.65,5,-0.90625,586,0.17068951967883683
2.0,0.999,0.02,0.65,5,-0.90625,586,0.17068951967883683
2.5,0.99,0.02,0.65,5,-0.90625,586,0.17068951967883683
2.5,0.995,0.02,0.65,5,-0.90625,586,0.17068951967883683
2.5,0.999,0.02,0.65,5,-0.90625,586,0.17068951967883683
