tbar,stor,zcut,trail,cb,cool,scale,train_t
1.25,1.5,-0.4479166666666665,0.6,0.99,3,0.46650018315663344,2.5864402665971156
1.25,1.5,-0.4479166666666665,0.6,0.99,4,0.46650018315663344,2.5094486802644225
1.25,1.5,-0.4479166666666665,0.6,0.99,5,0.46650018315663344,2.2320101453299834
1.25,1.5,-0.4479166666666665,0.6,0.99,7,0.46650018315663344,0.819807781192889
1.25,1.5,-0.4479166666666665,0.6,0.99,10,0.46650018315663344,1.9711186960821914
1.25,1.5,-0.4479166666666665,0.6,0.99,13,0.46650018315663344,2.7698559696265828
1.25,1.5,-0.4479166666666665,0.6,0.995,0,0.46650018315663344,2.976022620537504
1.25,1.5,-0.4479166666666665,0.6,0.995,1,0.46650018315663344,2.981539054611948
1.25,1.5,-0.4479166666666665,0.6,0.995,2,0.46650018315663344,2.1182472992058834
1.25,1.5,-0.4479166666666665,0.6,0.995,3,0.46650018315663344,2.5864402665971156
